route_long_name,route_url,route_color,route_type,route_short_name,route_id,route_desc,route_text_color,agency_id
Route 101,,006633,3,101,101,,ffffff,drt
Route 112,,006633,3,112,112,,ffffff,drt
Route 121,,006633,3,121,121,,ffffff,drt
Route 216,,006633,3,216,216,,ffffff,drt
Route 224,,006633,3,224,224,,ffffff,drt
Route 227,,006633,3,227,227,,ffffff,drt
Route 301,,006633,3,301,301,,ffffff,drt
Route 302,,006633,3,302,302,,ffffff,drt
Route 319,,006633,3,319,319,,ffffff,drt
Route 392,,006633,3,392,392,,ffffff,drt
Route 403,,006633,3,403,403,,ffffff,drt
Route 405,,006633,3,405,405,,ffffff,drt
Route 407,,006633,3,407,407,,ffffff,drt
Route 409,,006633,3,409,409,,ffffff,drt
Route 410,,006633,3,410,410,,ffffff,drt
Route 411,,006633,3,411,411,,ffffff,drt
Route 419,,006633,3,419,419,,ffffff,drt
Route 421,,006633,3,421,421,,ffffff,drt
Route 423,,006633,3,423,423,,ffffff,drt
Route 502,,006633,3,502,502,,ffffff,drt
Route 507,,006633,3,507,507,,ffffff,drt
Route 605,,006633,3,605,605,,ffffff,drt
PULSE 900,,cc6600,3,900,900,,000000,drt
PULSE 901,,cc6600,3,901,901,,000000,drt
Route 902,,006633,3,902,902,,ffffff,drt
Route 905,,006633,3,905,905,,ffffff,drt
PULSE 915,,cc6600,3,915,915,,000000,drt
PULSE 916,,cc6600,3,916,916,,000000,drt
Route 917,,006633,3,917,917,,ffffff,drt
Route 920,,006633,3,920,920,,ffffff,drt
Route 921,,006633,3,921,921,,ffffff,drt
Route N1,,0000ff,3,N1,N1,,ffffff,drt
Route N2,,0000ff,3,N2,N2,,ffffff,drt
Route 103,,006633,3,103,103,,ffffff,drt
Route 110,,006633,3,110,110,,ffffff,drt
Route 120,,006633,3,120,120,,ffffff,drt
Route 211,,006633,3,211,211,,ffffff,drt
Route 222,,006633,3,222,222,,ffffff,drt
Route 291,,006633,3,291,291,,ffffff,drt
